[INFO] [launch]: All log files can be found below /home/pro/.ros/log/2024-05-19-18-50-22-197273-pro-54144
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [joy_node-1]: process started with pid [54169]
[INFO] [teleop_node-2]: process started with pid [54171]
[INFO] [driver-3]: process started with pid [54173]
[INFO] [sonar_array-4]: process started with pid [54175]
[INFO] [obstacle_avoid_sonar-5]: process started with pid [54178]
[teleop_node-2] [INFO] [1716144622.714749759] [TeleopTwistJoy]: Teleop enable button 5.
[teleop_node-2] [INFO] [1716144622.714966915] [TeleopTwistJoy]: Linear axis x on 1 at scale 1.000000.
[teleop_node-2] [INFO] [1716144622.715013028] [TeleopTwistJoy]: Angular axis yaw on 0 at scale 1.000000.
[joy_node-1] [INFO] [1716144623.194796098] [joy]: Opened joystick: Logitech Gamepad F710.  deadzone: 0.050000
[obstacle_avoid_sonar-5] [INFO] [1716144629.072105464] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.78m, C:0.20m, R:3.50m
[obstacle_avoid_sonar-5] [INFO] [1716144629.109776189] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.78m, C:0.20m, R:3.50m
[obstacle_avoid_sonar-5] [INFO] [1716144629.129251326] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.78m, C:0.20m, R:3.50m
[obstacle_avoid_sonar-5] [INFO] [1716144629.149221833] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.78m, C:0.20m, R:3.50m
[obstacle_avoid_sonar-5] [INFO] [1716144629.168159117] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.78m, C:0.20m, R:3.50m
[obstacle_avoid_sonar-5] [INFO] [1716144629.185789944] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.78m, C:0.20m, R:3.50m
[obstacle_avoid_sonar-5] [INFO] [1716144629.203502885] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.78m, C:0.20m, R:3.50m
[obstacle_avoid_sonar-5] [INFO] [1716144629.213416886] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.78m, C:0.20m, R:3.50m
[obstacle_avoid_sonar-5] [INFO] [1716144629.222542191] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.78m, C:0.20m, R:3.50m
[obstacle_avoid_sonar-5] [INFO] [1716144629.231626735] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.78m, C:0.20m, R:3.50m
[obstacle_avoid_sonar-5] [INFO] [1716144629.271186476] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.46m, C:0.20m, R:3.16m
[obstacle_avoid_sonar-5] [INFO] [1716144629.330976456] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.46m, C:0.20m, R:3.16m
[obstacle_avoid_sonar-5] [INFO] [1716144629.373752188] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.46m, C:0.20m, R:3.16m
[obstacle_avoid_sonar-5] [INFO] [1716144629.423004755] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.46m, C:0.20m, R:3.16m
[obstacle_avoid_sonar-5] [INFO] [1716144629.470180873] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.46m, C:0.20m, R:3.16m
[obstacle_avoid_sonar-5] [INFO] [1716144629.518682764] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.46m, C:0.20m, R:3.16m
[obstacle_avoid_sonar-5] [INFO] [1716144629.569251640] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.46m, C:0.20m, R:3.16m
