[INFO] [launch]: All log files can be found below /home/pro/.ros/log/2024-05-19-21-28-55-643919-pro-64896
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [joy_node-1]: process started with pid [64921]
[INFO] [teleop_node-2]: process started with pid [64923]
[INFO] [driver-3]: process started with pid [64925]
[INFO] [sonar_array-4]: process started with pid [64927]
[INFO] [obstacle_avoid_sonar-5]: process started with pid [64929]
[teleop_node-2] [INFO] [1716154136.136795925] [TeleopTwistJoy]: Teleop enable button 5.
[teleop_node-2] [INFO] [1716154136.136988978] [TeleopTwistJoy]: Linear axis x on 1 at scale 1.000000.
[teleop_node-2] [INFO] [1716154136.137029719] [TeleopTwistJoy]: Angular axis yaw on 0 at scale 1.000000.
[joy_node-1] [INFO] [1716154136.578768331] [joy]: Opened joystick: Logitech Gamepad F710.  deadzone: 0.050000
[obstacle_avoid_sonar-5] [INFO] [1716154144.803796422] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.73m, C:1.41m, R:0.90m
[obstacle_avoid_sonar-5] [INFO] [1716154144.824652392] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:1.73m, C:1.41m, R:0.90m
[obstacle_avoid_sonar-5] [INFO] [1716154144.833181749] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.73m, C:1.41m, R:0.90m
[obstacle_avoid_sonar-5] [INFO] [1716154144.848618719] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:1.73m, C:1.41m, R:0.90m
[obstacle_avoid_sonar-5] [INFO] [1716154144.856985355] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.73m, C:1.41m, R:0.90m
[obstacle_avoid_sonar-5] [INFO] [1716154144.876108436] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.73m, C:1.41m, R:0.90m
[obstacle_avoid_sonar-5] [INFO] [1716154144.899329604] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.73m, C:1.41m, R:0.90m
[obstacle_avoid_sonar-5] [INFO] [1716154144.921485395] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.73m, C:1.41m, R:0.90m
[obstacle_avoid_sonar-5] [INFO] [1716154144.941447078] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.73m, C:1.41m, R:0.90m
[obstacle_avoid_sonar-5] [INFO] [1716154144.962144957] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.73m, C:1.41m, R:0.90m
[obstacle_avoid_sonar-5] [INFO] [1716154144.981854588] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.73m, C:1.41m, R:0.90m
