[INFO] [launch]: All log files can be found below /home/pro/.ros/log/2024-05-19-19-16-50-328228-pro-60523
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [joy_node-1]: process started with pid [60548]
[INFO] [teleop_node-2]: process started with pid [60550]
[INFO] [driver-3]: process started with pid [60552]
[INFO] [sonar_array-4]: process started with pid [60554]
[INFO] [obstacle_avoid_sonar-5]: process started with pid [60564]
[teleop_node-2] [INFO] [1716146211.141790621] [TeleopTwistJoy]: Teleop enable button 5.
[teleop_node-2] [INFO] [1716146211.141997945] [TeleopTwistJoy]: Linear axis x on 1 at scale 1.000000.
[teleop_node-2] [INFO] [1716146211.142034036] [TeleopTwistJoy]: Angular axis yaw on 0 at scale 1.000000.
[joy_node-1] [INFO] [1716146211.286629385] [joy]: Opened joystick: Logitech Gamepad F710.  deadzone: 0.050000
[obstacle_avoid_sonar-5] [INFO] [1716146219.328142363] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.31m, C:0.20m, R:2.16m
[obstacle_avoid_sonar-5] [INFO] [1716146219.340982036] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:3.33m
[obstacle_avoid_sonar-5] [INFO] [1716146219.348704591] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:3.33m
[obstacle_avoid_sonar-5] [INFO] [1716146219.356190416] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:3.33m
[obstacle_avoid_sonar-5] [INFO] [1716146219.395289204] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:3.33m
[obstacle_avoid_sonar-5] [INFO] [1716146219.446000370] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:3.33m
[obstacle_avoid_sonar-5] [INFO] [1716146219.498086843] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:3.33m
[obstacle_avoid_sonar-5] [INFO] [1716146219.548796750] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:3.33m
[obstacle_avoid_sonar-5] [INFO] [1716146219.599525026] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:3.33m
[obstacle_avoid_sonar-5] [INFO] [1716146219.649216034] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:3.33m
[obstacle_avoid_sonar-5] [INFO] [1716146219.700547431] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:3.50m, C:0.20m, R:3.33m
[obstacle_avoid_sonar-5] [INFO] [1716146219.749477919] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:2.71m, C:0.20m, R:3.33m
[obstacle_avoid_sonar-5] [INFO] [1716146219.801078210] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:2.71m, C:0.20m, R:1.62m
[obstacle_avoid_sonar-5] [INFO] [1716146219.854336260] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:2.71m, C:0.20m, R:1.62m
[obstacle_avoid_sonar-5] [INFO] [1716146219.902537114] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:2.71m, C:0.20m, R:1.62m
[obstacle_avoid_sonar-5] [INFO] [1716146219.963204140] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:2.71m, C:0.20m, R:1.62m
[obstacle_avoid_sonar-5] [INFO] [1716146220.012465354] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:2.71m, C:0.20m, R:1.62m
[obstacle_avoid_sonar-5] [INFO] [1716146220.063082305] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:2.71m, C:0.20m, R:1.62m
[obstacle_avoid_sonar-5] [INFO] [1716146220.117114416] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:2.71m, C:0.20m, R:1.62m
[obstacle_avoid_sonar-5] [INFO] [1716146220.166805372] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:2.71m, C:0.20m, R:1.62m
[obstacle_avoid_sonar-5] [INFO] [1716146220.216064330] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:2.71m, C:0.20m, R:1.62m
[obstacle_avoid_sonar-5] [INFO] [1716146220.267912929] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.36m, C:0.20m, R:1.70m
[obstacle_avoid_sonar-5] [INFO] [1716146220.317917686] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.36m, C:0.20m, R:1.70m
[obstacle_avoid_sonar-5] [INFO] [1716146220.369347563] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.36m, C:0.20m, R:1.70m
[obstacle_avoid_sonar-5] [INFO] [1716146220.424438422] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.36m, C:0.20m, R:1.70m
[obstacle_avoid_sonar-5] [INFO] [1716146220.474498695] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.36m, C:0.20m, R:1.70m
[obstacle_avoid_sonar-5] [INFO] [1716146220.525805096] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.36m, C:0.20m, R:1.70m
[obstacle_avoid_sonar-5] [INFO] [1716146220.577055389] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.36m, C:0.20m, R:1.70m
[obstacle_avoid_sonar-5] [INFO] [1716146220.627603844] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.36m, C:0.20m, R:1.70m
[obstacle_avoid_sonar-5] [INFO] [1716146220.674642236] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.36m, C:0.20m, R:1.70m
[obstacle_avoid_sonar-5] [INFO] [1716146220.725410681] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.36m, C:0.20m, R:1.70m
[obstacle_avoid_sonar-5] [INFO] [1716146220.774192364] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.41m, C:0.20m, R:1.23m
[obstacle_avoid_sonar-5] [INFO] [1716146220.825404362] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.41m, C:0.20m, R:1.23m
[obstacle_avoid_sonar-5] [INFO] [1716146220.876720726] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.41m, C:0.20m, R:1.23m
[obstacle_avoid_sonar-5] [INFO] [1716146220.936869817] [obst_avoid_node]: STOPPED: Object too close. Ranges: L:1.41m, C:0.20m, R:1.23m
